At. num,Sp. Name,Ion Charge,El. Name,Binding Energy (a) (eV),Uncertainty (b) (eV)
"23","V XIV","+13","Vanadium","23868","6"
"23","V XV","+14","Vanadium","22972","6"
"23","V XVI","+15","Vanadium","21995","5"
"23","V XVII","+16","Vanadium","20932","3"
"23","V XVIII","+17","Vanadium","19766.8","1.6"
"23","V XIX","+18","Vanadium","18508.0","1.1"
"23","V XX","+19","Vanadium","17153.7","0.5"
"23","V XXI","+20","Vanadium","15667.093","0.007"
"23","V XXII","+21","Vanadium","14097.4374","0.0009"
"23","V XXIII","+22","Vanadium","7246.12624","0.00014"
"24","Cr I","0","Chromium","28582","10"
"24","Cr II","+1","Chromium","28576","10"
"24","Cr III","+2","Chromium","28559","10"
"24","Cr IV","+3","Chromium","28528","10"
"24","Cr V","+4","Chromium","28479","10"
"24","Cr VI","+5","Chromium","28410","10"
"24","Cr VII","+6","Chromium","28319","10"
"24","Cr VIII","+7","Chromium","28158","10"
"24","Cr IX","+8","Chromium","27973","9"
"24","Cr X","+9","Chromium","27764","9"
"24","Cr XI","+10","Chromium","27520","9"
"24","Cr XII","+11","Chromium","27249","9"
"24","Cr XIII","+12","Chromium","26952","7"
"24","Cr XIV","+13","Chromium","26597","7"
"24","Cr XV","+14","Chromium","26213","7"
"24","Cr XVI","+15","Chromium","25201","7"
"24","Cr XVII","+16","Chromium","24104","6"
"24","Cr XVIII","+17","Chromium","22916","4"
"24","Cr XIX","+18","Chromium","21621.6","1.9"
"24","Cr XX","+19","Chromium","20227.0","1.2"
"24","Cr XXI","+20","Chromium","18731.9","0.5"
"24","Cr XXII","+21","Chromium","17097.849","0.007"
"24","Cr XXIII","+22","Chromium","15376.6654","0.0012"
"24","Cr XXIV","+23","Chromium","7894.80289","0.00019"
"25","Mn I","0","Manganese","31514","10"
"25","Mn II","+1","Manganese","31507","10"
"25","Mn III","+2","Manganese","31491","10"
"25","Mn IV","+3","Manganese","31457","10"
"25","Mn V","+4","Manganese","31406","10"
"25","Mn VI","+5","Manganese","31333","10"
"25","Mn VII","+6","Manganese","31238","10"
"25","Mn VIII","+7","Manganese","31119","10"
"25","Mn IX","+8","Manganese","30923","10"
"25","Mn X","+9","Manganese","30702","10"
"25","Mn XI","+10","Manganese","30453","10"
"25","Mn XII","+11","Manganese","30167","9"
"25","Mn XIII","+12","Manganese","29853","9"
"25","Mn XIV","+13","Manganese","29509","9"
"25","Mn XV","+14","Manganese","29107","9"
"25","Mn XVI","+15","Manganese","28671","9"
"25","Mn XVII","+16","Manganese","27537","9"
"25","Mn XVIII","+17","Manganese","26313","7"
"25","Mn XIX","+18","Manganese","24993","5"
"25","Mn XX","+19","Manganese","23561.7","2.2"
"25","Mn XXI","+20","Manganese","22024.6","1.4"
"25","Mn XXII","+21","Manganese","20381.3","0.6"
"25","Mn XXIII","+22","Manganese","18592.613","0.007"
"25","Mn XXIV","+23","Manganese","16712.7408","0.0014"
"25","Mn XXV","+24","Manganese","8571.95438","0.00022"
"26","Fe I","0","Iron","34619","11"
"26","Fe II","+1","Iron","34611","11"
"26","Fe III","+2","Iron","34595","11"
"26","Fe IV","+3","Iron","34564","11"
"26","Fe V","+4","Iron","34510","11"
"26","Fe VI","+5","Iron","34434","11"
"26","Fe VII","+6","Iron","34335","11"
"26","Fe VIII","+7","Iron","34210","11"
"26","Fe IX","+8","Iron","34060","11"
"26","Fe X","+9","Iron","33825","11"
"26","Fe XI","+10","Iron","33564","11"
"26","Fe XII","+11","Iron","33272","10"
"26","Fe XIII","+12","Iron","32941","10"
"26","Fe XIV","+13","Iron","32581","10"
"26","Fe XV","+14","Iron","32189","10"
"26","Fe XVI","+15","Iron","31733","10"
"26","Fe XVII","+16","Iron","31243","10"
"26","Fe XVIII","+17","Iron","29981","9"
"26","Fe XIX","+18","Iron","28623","7"
"26","Fe XX","+19","Iron","27164","4"
"26","Fe XXI","+20","Iron","25588","4"
"26","Fe XXII","+21","Iron","23901","3"
"26","Fe XXIII","+22","Iron","22102.0","1.9"
"26","Fe XXIV","+23","Iron","20151.634","0.007"
"26","Fe XXV","+24","Iron","18105.8751","0.0012"
"26","Fe XXVI","+25","Iron","9277.6886","0.0003"
"27","Co I","0","Cobalt","37899","15"
"27","Co II","+1","Cobalt","37892","15"
"27","Co III","+2","Cobalt","37875","15"
"27","Co IV","+3","Cobalt","37841","15"
"27","Co V","+4","Cobalt","37790","15"
"27","Co VI","+5","Cobalt","37710","15"
"27","Co VII","+6","Cobalt","37608","15"
"27","Co VIII","+7","Cobalt","37479","15"
"27","Co IX","+8","Cobalt","37322","15"
"27","Co X","+9","Cobalt","37136","15"
"27","Co XI","+10","Cobalt","36861","15"
"27","Co XII","+11","Cobalt","36554","15"
"27","Co XIII","+12","Cobalt","36218","14"
"27","Co XIV","+13","Cobalt","35840","14"
"27","Co XV","+14","Cobalt","35430","12"
"27","Co XVI","+15","Cobalt","34990","11"
